STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30136,Laramie (Harlem-bound),Laramie,40700,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.887163, -87.754986)",-87.754986,41.887163
30262,LaSalle (Forest Pk-bound),LaSalle,41340,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.875568, -87.631722)",-87.631722,41.875568
30261,LaSalle (O'Hare-bound),LaSalle,41340,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.875568, -87.631722)",-87.631722,41.875568
30030,LaSalle/Van Buren (Outer Loop),LaSalle/Van Buren,40160,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.8768, -87.631739)",-87.631739,41.8768
30031,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,40160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"(41.8768, -87.631739)",-87.631739,41.8768
30149,Lawrence (Howard-bound),Lawrence,40770,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.969139, -87.658493)",-87.658493,41.969139
30150,Lawrence (95th-bound),Lawrence,40770,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.969139, -87.658493)",-87.658493,41.969139
30197,Logan Square (O'Hare-bound),Logan Square,41020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.929728, -87.708541)",-87.708541,41.929728
30198,Logan Square (Forest Pk-bound),Logan Square,41020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.929728, -87.708541)",-87.708541,41.929728
30091,Merchandise Mart (Loop-bound),Merchandise Mart,40460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(41.888969, -87.633924)",-87.633924,41.888969
30090,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,40460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"(41.888969, -87.633924)",-87.633924,41.888969
30153,Monroe (O'Hare-bound),Monroe,40790,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880703, -87.629378)",-87.629378,41.880703
30211,Monroe (Howard-bound),Monroe,41090,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880745, -87.627696)",-87.627696,41.880745
30212,Monroe (95th-bound),Monroe,41090,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880745, -87.627696)",-87.627696,41.880745
30154,Monroe (Forest Pk-bound),Monroe,40790,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.880703, -87.629378)",-87.629378,41.880703
30260,Montrose (Forest Pk-bound),Montrose,41330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961539, -87.743574)",-87.743574,41.961539
30259,Montrose (O'Hare-bound),Montrose,41330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961539, -87.743574)",-87.743574,41.961539
30287,Montrose (Kimball-bound),Montrose,41500,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961756, -87.675047)",-87.675047,41.961756
30288,Montrose (Loop-bound),Montrose,41500,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.961756, -87.675047)",-87.675047,41.961756
30296,Morgan (Harlem-54th/Cermak-bound),Morgan,41510,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.885586, -87.652193)",-87.652193,41.885586
30295,Morgan (Loop-63rd-bound),Morgan,41510,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.885586, -87.652193)",-87.652193,41.885586
30125,North/Clybourn (Howard-bound),North/Clybourn,40650,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.910655, -87.649177)",-87.649177,41.910655
30126,North/Clybourn (95th-bound),North/Clybourn,40650,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.910655, -87.649177)",-87.649177,41.910655
30263,Oak Park (63rd-bound),Oak Park,41350,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.886988, -87.793783)",-87.793783,41.886988
30035,Oak Park (Forest Pk-bound),Oak Park,40180,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.872108, -87.791602)",-87.791602,41.872108
30034,Oak Park (O'Hare-bound),Oak Park,40180,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.872108, -87.791602)",-87.791602,41.872108
30264,Oak Park (Harlem-bound),Oak Park,41350,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.886988, -87.793783)",-87.793783,41.886988
30172,O'Hare (Forest Pk-bound),O'Hare,40890,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.97766526, -87.90422307)",-87.90422307,41.97766526
30171,O'Hare (Terminal Arrival),O'Hare,40890,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.97766526, -87.90422307)",-87.90422307,41.97766526
30254,Paulina (Loop-bound),Paulina,41310,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.943623, -87.670907)",-87.670907,41.943623
30253,Paulina (Kimball-bound),Paulina,41310,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.943623, -87.670907)",-87.670907,41.943623
30200,Polk (54th/Cermak-bound),Polk,41030,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.871551, -87.66953)",-87.66953,41.871551
30199,Polk (Loop-bound),Polk,41030,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.871551, -87.66953)",-87.66953,41.871551
30028,Pulaski (Loop-bound),Pulaski,40150,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853732, -87.724311)",-87.724311,41.853732
